ID,age,gender,gender_open,ethnicity,ethnicity_open,Q1_Neutral_1,Q1_Neutral_2,Q1_Neutral_3,Q1_Masculine_1,Q1_Masculine_2,Q1_Masculine_3,Q1_Non-masculine_1,Q1_Non-masculine_2,Q1_Non-masculine_3,Q2_Neutral_1,Q2_Neutral_2,Q2_Neutral_3,Q2_Masculine_1,Q2_Masculine_2,Q2_Masculine_3,Q2_Non-masculine_1,Q2_Non-masculine_2,Q2_Non-masculine_3,Q3_Neutral_1,Q3_Neutral_2,Q3_Neutral_3,Q3_Masculine_1,Q3_Masculine_2,Q3_Masculine_3,Q3_Non-masculine_1,Q3_Non-masculine_2,Q3_Non-masculine_3,Q4_Neutral_1,Q4_Neutral_2,Q4_Neutral_3,Q4; Masculine_1,Q4; Masculine_2,Q4; Masculine_3,Q4_Non-masculine_1,Q4_Non-masculine_2,Q4_Non-masculine_3,Q5_Neutral_1,Q5_Neutral_2,Q5_Neutral_3,Q5_Masculine_1,Q5_Masculine_2,Q5_Masculine_3,Q5_Non-masculine_1,Q5_Non-masculine_2,Q5_Non-masculine_3,Q6_Neutral_1,Q6_Neutral_2,Q6_Neutral_3,Q6_Masculine_1,Q6_Masculine_2,Q6_Masculine_3,Q6_Non-masculine_1,Q6_Non-masculine_2,Q6_Non-masculine_3,Q7_Neutral_1,Q7_Neutral_2,Q7_Neutral_3,Q7_Masculine_1,Q7_Masculine_2,Q7_Masculine_3,Q7_Non-masculine_1,Q7_Non-masculine_2,Q7_Non-masculine_3,Q8_Neutral_1,Q8_Neutral_2,Q8_Neutral_3,Q8_Masculine_1,Q8_Masculine_2,Q8_Masculine_3,Q8_Non-masculine_1,Q8_Non-masculine_2,Q8_Non-masculine_3
1,61,Female,,Caucasian,,,,,,,,5,2,3,,,,5,5,5,,,,,,,,,,5,5,5,5,6,7,,,,,,,,,,5,5,5,,,,,,,,,,5,5,5,,,,,,,5,5,2,,,,5,7,3,,,
2,36,Female,,Caucasian,,,,,,,,3,4,7,8,6,7,,,,,,,5,5,7,,,,,,,,,,5,5,7,,,,,,,8,8,5,,,,,,,7,4,3,,,,5,7,7,,,,,,,,,,5,6,6,,,
3,32,Male,,Caucasian,,,,,,,,9,7,3,,,,,,,4,4,5,,,,5,5,5,,,,,,,,,,9,3,3,4,5,5,,,,,,,5,5,6,,,,,,,5,5,5,,,,,,,,,,7,5,3,,,
4,29,Male,,Caucasian,,,,,,,,7,6,8,,,,,,,6,7,7,,,,,,,7,8,8,5,6,4,,,,,,,6,8,5,,,,,,,,,,,,,6,4,6,,,,6,5,6,,,,,,,6,7,6,,,
5,48,Female,,Caucasian,,5,6,6,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,,5,6,6,,,,,,,,,,,,,5,4,5,5,7,7,,,,,,,5,6,6,,,,,,,,,,4,6,4,,,
6,26,Male,,Caucasian,,,,,9,9,6,,,,,,,,,,6,6,6,,,,,,,6,5,5,,,,5,7,7,,,,,,,,,,4,5,5,,,,,,,6,4,4,3,4,5,,,,,,,5,6,5,,,,,,
7,20,Male,,"Caucasian,Hispanic/Latino",,7,8,5,,,,,,,,,,,,,8,6,4,5,5,5,,,,,,,,,,6,6,6,,,,,,,,,,5,5,5,,,,8,6,5,,,,5,5,5,,,,,,,,,,,,,5,5,5
8,24,Male,,Asian,,,,,,,,5,7,6,9,9,9,,,,,,,6,6,6,,,,,,,5,7,6,,,,,,,,,,5,5,5,,,,,,,,,,5,5,5,,,,5,5,5,,,,5,8,5,,,,,,
9,36,Male,,Caucasian,,,,,,,,8,9,7,,,,6,4,5,,,,7,9,8,,,,,,,,,,8,9,7,,,,8,9,8,,,,,,,8,9,7,,,,,,,,,,8,7,6,,,,7,9,6,,,,,,
10,37,Male,,Caucasian,,,,,,,,6,6,6,7,7,7,,,,,,,,,,5,5,5,,,,,,,,,,5,4,4,,,,5,5,5,,,,,,,,,,7,7,7,,,,,,,5,6,4,,,,,,,5,3,4
