ID,duration,age,gender,ethnicity,Shoplifting,Trespassing,Speeding,Incitement_to_riot,Fake_ID/Fraud,Suspended_license,Drunk_driving,Domestic_abuse,Embezzlement,Prank_calling 911,Drug_dealing,Graffiti/Vandalism,Burglary,Throw_rocks_at_cars,Carry_gun_w/o_permit,Car_theft,Insider_trading,Handling_stolen_good,Credit_card_fraud,Robbery,Refusing_to_cooperat,Helmet_law,Carrying_knife,Public_drinking,Assault,Prostitution,Child_support,Desertion,Street_Fight,Street_Race,Armed_robbery,MobEnforcer,Pimp,Terrorist,Reckless_Road_Rage,Fistfight,Vigilante,Gun_Crime,Illegal_gambling_den,Jewel_thief
1,94,41,Male,Caucasian,5,5,5,5,5,5,5,5,5,5,5,5,7,6,6,5,5,5,6,5,5,5,6,6,6,6,5,5,7,5,5,5,5,5,5,5,4,6,5,6
2,133,26,Male,Hispanic/Latino,6,5,3,3,6,5,6,7,5,4,8,7,3,4,4,6,8,3,7,6,8,8,4,5,4,7,3,5,3,6,6,4,5,4,5,6,7,6,5,4
3,198,26,Male,Caucasian,1,6,6,7,1,2,5,2,1,1,6,2,3,2,3,6,1,3,2,6,2,2,6,5,7,2,1,1,8,7,7,8,7,6,6,7,7,4,6,2
4,196,26,Male,Asian,5,9,9,9,5,9,9,9,5,9,9,9,5,9,9,9,1,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5
5,232,30,Male,Caucasian,4,8,6,4,6,7,2,3,6,2,8,4,8,3,8,8,7,5,3,8,2,7,8,7,8,1,1,1,9,9,7,9,9,2,8,9,9,7,8,4
6,238,47,Female,Caucasian,5,6,5,8,5,5,5,6,6,5,7,5,7,8,6,8,5,7,5,9,5,6,8,5,9,2,5,3,9,8,6,9,7,6,6,8,6,6,6,4
7,239,31,Male,Caucasian,2,8,5,8,5,7,5,3,4,5,5,7,5,5,7,7,5,5,3,7,2,7,5,7,8,5,3,2,7,7,3,7,8,5,7,9,8,5,8,5
8,347,42,Female,Caucasian,2,5,6,5,5,5,5,8,3,4,5,3,6,5,7,7,5,5,2,7,6,7,7,5,7,3,2,2,8,7,8,7,6,5,7,7,7,7,6,3
9,353,38,Male,Caucasian,2,7,5,7,3,6,4,1,2,2,3,6,3,2,5,5,3,3,1,6,3,7,6,6,8,1,2,2,9,9,5,9,2,3,6,9,9,5,5,1
10,127,28,Male,Caucasian,3,3,4,2,3,3,2,3,2,2,3,4,3,2,2,2,2,2,3,3,2,3,2,3,2,4,2,3,2,4,1,3,3,2,2,3,4,1,2,3
11,373,26,Female,Caucasian,5,6,6,6,6,7,6,1,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6
12,414,53,Female,Caucasian,5,8,6,9,5,7,7,6,5,7,6,8,8,8,8,9,7,7,5,9,8,9,8,8,8,3,7,9,8,8,9,9,7,7,9,8,8,8,8,6
13,449,32,Male,Black/African,5,5,6,6,5,5,6,2,7,4,5,5,6,6,6,7,5,5,5,8,5,5,4,5,7,3,4,3,7,7,7,8,8,7,7,8,8,7,7,7
14,311,30,Female,Caucasian,8,5,8,6,9,5,5,5,9,2,5,6,5,5,5,9,5,5,5,8,5,,8,5,9,1,1,1,5,9,9,9,9,2,5,9,9,5,9,5
15,554,39,Female,Caucasian,7,8,8,1,8,9,1,1,1,8,2,3,9,9,9,8,2,3,1,7,1,8,7,1,9,1,1,1,9,8,8,9,8,8,8,8,9,2,2,1
16,591,30,Female,Asian,7,8,8,6,7,6,8,9,6,7,8,9,9,8,8,9,9,3,6,9,5,8,7,4,5,1,1,1,8,8,8,7,1,9,7,9,8,6,7,7
17,332,46,Male,Caucasian,4,4,3,3,4,4,1,2,2,3,2,3,2,3,4,2,2,3,2,2,3,3,2,4,3,2,2,1,3,3,1,2,2,1,2,4,3,4,2,2
18,239,36,Male,Caucasian,4,5,5,5,8,5,5,2,5,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,2,3,2,7,6,5,5,5,5,5,7,6,6,6,5
19,203,31,Female,Caucasian,6,6,5,6,6,6,3,5,6,3,6,5,8,6,7,7,4,5,5,7,5,7,7,6,8,3,2,2,9,9,8,9,8,5,6,9,7,5,7,5
20,288,21,Male,Caucasian,3,7,7,6,7,5,2,1,3,2,5,2,2,7,5,2,5,5,2,8,2,2,7,2,7,3,5,5,7,7,6,7,7,5,2,7,7,6,,3
21,307,56,Male,Caucasian,4,5,6,5,6,5,3,2,5,3,7,6,6,1,7,6,5,5,5,8,5,7,6,6,8,2,2,2,7,7,7,8,5,5,7,9,8,5,6,3
22,395,39,Female,Caucasian,3,6,7,5,8,6,4,2,3,3,3,7,6,3,7,6,6,5,3,6,4,6,6,2,7,2,3,2,8,8,6,8,6,4,7,8,8,8,6,6
23,478,52,Male,Asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,290,28,Male,Caucasian,2,2,2,2,2,,2,1,2,1,2,4,1,3,4,5,5,2,7,1,2,2,5,6,2,2,2,1,1,2,2,6,6,2,1,6,6,1,2,1
25,204,26,Female,Caucasian,3,3,5,5,5,5,5,5,3,3,5,1,8,2,5,7,3,3,4,6,2,7,6,5,8,2,5,2,7,7,7,8,5,5,5,8,9,5,5,1
26,120,25,Male,Caucasian,8,7,6,7,6,8,6,8,8,6,8,7,6,8,8,8,7,8,7,6,7,7,7,7,7,7,7,7,7,8,7,7,7,7,8,6,7,7,6,6
27,236,30,Female,Caucasian,1,6,4,1,6,2,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,5,1,1,1,7,1,6,3,1,1,1,1,3,1,1
28,133,29,Female,Caucasian,5,5,4,4,6,5,7,3,4,1,4,3,3,6,7,6,6,4,6,4,3,3,4,4,6,2,5,3,4,6,6,3,7,3,6,5,6,7,7,6
29,91,25,Male,Caucasian,3,4,3,6,6,3,7,3,7,4,3,3,5,7,4,6,3,5,3,5,5,3,3,3,4,4,6,3,7,5,6,5,6,3,4,6,4,6,3,6
30,208,43,Male,Caucasian,2,4,5,5,9,3,2,3,2,8,2,3,2,1,2,3,5,1,8,6,1,6,7,5,5,5,2,9,4,8,6,1,6,9,5,3,2,9,3,5
31,1093,48,Female,Caucasian,1,5,5,1,5,1,5,2,5,1,5,1,1,1,6,1,1,1,1,2,5,5,8,5,1,1,1,2,5,5,1,5,1,1,5,6,6,8,1,2
32,485,55,Male,Caucasian,3,8,3,5,7,7,5,1,4,3,4,5,5,2,8,6,6,5,3,5,2,6,7,5,6,3,2,1,7,6,4,7,7,5,6,8,7,7,5,3
33,432,42,Female,Black/African,8,6,7,3,9,3,2,2,3,7,8,8,8,7,7,9,3,3,2,8,3,7,8,3,3,1,2,2,8,8,6,9,6,8,2,6,9,7,8,2
34,347,36,Male,Caucasian,1,9,1,9,1,8,1,9,1,1,1,9,1,1,9,6,1,6,1,1,9,5,8,9,9,1,1,8,9,9,1,8,1,1,1,9,8,8,8,1
35,300,37,Female,Caucasian,6,5,5,6,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,9,5,5,9,6,9,1,1,1,9,9,9,7,9,5,5,9,9,9,9,5
36,635,33,Female,Black/African,3,7,9,5,5,5,5,1,5,5,5,5,7,5,5,5,5,5,5,9,9,9,8,5,1,1,1,1,9,7,9,8,9,5,5,8,9,9,9,9
37,461,34,Female,Caucasian,4,7,6,3,8,4,2,2,1,1,2,7,4,2,8,4,3,3,2,7,3,2,6,7,9,1,1,1,9,7,7,8,7,1,3,8,9,3,7,3
38,217,21,Male,Caucasian,1,3,6,6,5,1,8,8,8,3,9,1,9,2,6,7,2,2,3,8,1,1,8,1,9,1,2,1,9,9,9,9,8,8,9,8,7,6,4,3
39,84,35,Male,Caucasian,3,3,7,7,2,4,4,3,6,7,6,7,4,2,6,6,3,6,6,7,3,3,3,4,3,3,3,3,2,4,7,5,3,7,8,2,7,3,6,8
40,420,47,Female,Caucasian,8,8,6,8,8,7,5,6,6,7,6,8,8,6,7,7,5,7,6,7,5,8,9,4,8,1,6,1,7,7,8,9,9,6,6,9,9,8,8,5
