crime,mean,sd,median
Fistfight,6.974358974,2.121161294,8
Vigilante,6.974358974,2.058195166,7
Street_Race,6.948717949,1.746405601,7
MobEnforcer,6.871794872,2.154303981,7
Street_Fight,6.666666667,2.44231699,7
Carrying_knife,6.205128205,2.041406728,7
Robbery,6.179487179,2.360550726,7
Assault,6.153846154,2.590859048,7
Armed_robbery,5.974358974,2.507747778,6
Pimp,5.974358974,2.411454895,6
Carry_gun_w/o_permit,5.948717949,1.972824824,6
Car_theft,5.923076923,2.205073282,6
Gun_Crime,5.897435897,2.112554849,6
Trespassing,5.820512821,1.804552647,6
Illegal_gambling_den,5.736842105,2.344449576,6
Fake_ID/Fraud,5.58974359,2.048336279,6
Helmet_law,5.473684211,2.356553164,6
Speeding,5.461538462,1.789533221,6
Reckless_Road_Rage,5.435897436,2.280291669,6
Incitement_to_riot,5.256410256,2.185092419,5
Suspended_license,5.131578947,1.98876646,5
Burglary,5.128205128,2.472793936,5
Public_drinking,5.076923077,1.869204945,5
Drug_dealing,5,2.212405217,5
Graffiti/Vandalism,5,2.361979544,5
Terrorist,4.820512821,2.426517917,5
Throw_rocks_at_cars,4.461538462,2.532381382,5
Insider_trading,4.41025641,2.009424488,5
Drunk_driving,4.384615385,2.135112281,5
Handling_stolen_good,4.384615385,1.900351555,5
Embezzlement,4.307692308,2.166173514,5
Refusing_to_cooperat,4.205128205,2.341608615,5
Jewel_thief,4.102564103,2.124975192,4
Shoplifting,4.051282051,2.139216752,4
Credit_card_fraud,4.025641026,2.006400016,5
Prank_calling 911,3.948717949,2.30501419,4
Domestic_abuse,3.846153846,2.670880611,3
Desertion,2.948717949,2.491551176,2
Child_support,2.923076923,2.069637845,2
Prostitution,2.717948718,1.986119172,2
