ID,duration,age,gender,ethnicity,ethnicity_open,Winning1,Winning2,Winning3,Winning4_R,Winning5,Emotion1,Emotion2_R,Emotion3,Emotion4,Emotion5_R,Risk1,Risk2,Risk3,Risk4_R,Risk5_R,Violence1,Violence2_R,Violence3,Violence4,Violence5_R,Playboy1,Playboy2,Playboy3,Playboy4_R,Playboy5_R,Selfreliance1,Selfreliance2,Selfreliance3,Selfreliance4,Selfreliance5_R,Hetero1,Hetero2,Hetero3,Hetero4,Hetero5_R,WorkPrimacy1_R,WorkPrimacy2,WorkPrimacy3_R,WorkPrimacy4,WorkPrimacy5,PoW1,PoW2,PoW3,PoW4_R,PoW5,Q1_Neutral_1,Q1_Neutral_2,Q1_Neutral_3,Q1_Masculine_1,Q1_Masculine_2,Q1_Masculine_3,Q1_Non-masculine_1,Q1_Non-masculine_2,Q1_Non-masculine_3,Q2_Neutral_1,Q2_Neutral_2,Q2_Neutral_3,Q2_Masculine_1,Q2_Masculine_2,Q2_Masculine_3,Q2_Non-masculine_1,Q2_Non-masculine_2,Q2_Non-masculine_3,Q3_Neutral_1,Q3_Neutral_2,Q3_Neutral_3,Q3_Masculine_1,Q3_Masculine_2,Q3_Masculine_3,Q3_Non-masculine_1,Q3_Non-masculine_2,Q3_Non-masculine_3,Q4_Neutral_1,Q4_Neutral_2,Q4_Neutral_3,Q4;_Masculine_1,Q4;_Masculine_2,Q4;_Masculine_3,Q4_Non-masculine_1,Q4_Non-masculine_2,Q4_Non-masculine_3,Q5_Neutral_1,Q5_Neutral_2,Q5_Neutral_3,Q5_Masculine_1,Q5_Masculine_2,Q5_Masculine_3,Q5_Non-masculine_1,Q5_Non-masculine_2,Q5_Non-masculine_3,Q6_Neutral_1,Q6_Neutral_2,Q6_Neutral_3,Q6_Masculine_1,Q6_Masculine_2,Q6_Masculine_3,Q6_Non-masculine_1,Q6_Non-masculine_2,Q6_Non-masculine_3,Q7_Neutral_1,Q7_Neutral_2,Q7_Neutral_3,Q7_Masculine_1,Q7_Masculine_2,Q7_Masculine_3,Q7_Non-masculine_1,Q7_Non-masculine_2,Q7_Non-masculine_3,Q8_Neutral_1,Q8_Neutral_2,Q8_Neutral_3,Q8_Masculine_1,Q8_Masculine_2,Q8_Masculine_3,Q8_Non-masculine_1,Q8_Non-masculine_2,Q8_Non-masculine_3
1,147,24,Male,Caucasian,,2,1,1,1,3,3,1,4,3,3,1,3,2,2,3,2,3,2,3,3,3,2,2,2,3,1,3,2,3,2,4,4,2,3,1,3,3,3,3,1,3,2,2,4,4,7,4,3,,,,,,,,,,,,,3,7,4,,,,,,,4,6,9,,,,4,8,9,,,,,,,4,2,8,,,,,,,,,,3,6,5,3,8,5,,,,,,,,,,,,,8,2,5
2,287,23,Male,Caucasian,,2,3,3,3,3,2,3,3,2,2,3,3,3,3,3,3,2,3,3,2,2,2,2,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3,2,3,3,3,2,,,,,,,5,5,6,,,,5,4,4,,,,,,,,,,5,3,3,,,,,,,5,3,2,5,5,5,,,,,,,,,,,,,5,5,3,,,,,,,5,3,2,,,,5,6,5,,,
3,240,46,Female,Caucasian,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,,,,,,,3,5,3,,,,3,4,4,,,,,,,,,,4,3,3,,,,,,,4,4,4,3,4,4,,,,,,,,,,,,,3,4,4,4,4,5,,,,,,,4,4,5,,,,,,
4,289,36,Male,Caucasian,,2,2,2,3,2,2,2,3,2,3,3,2,2,2,2,3,2,3,3,2,3,3,3,2,2,2,2,2,3,3,2,2,2,2,3,2,2,3,2,3,2,2,2,2,2,5,5,5,,,,,,,,,,5,5,5,,,,,,,,,,5,5,5,,,,,,,5,5,5,,,,5,5,5,,,,,,,,,,5,5,5,5,5,5,,,,,,,,,,,,,5,5,5
5,345,40,Female,Caucasian,,2,2,3,2,3,2,3,2,2,3,3,3,2,2,2,3,2,3,3,2,2,2,2,3,3,2,2,2,3,3,2,2,2,2,3,2,2,3,2,3,2,2,2,2,2,5,5,5,,,,,,,,,,,,,5,5,5,,,,5,5,5,,,,,,,,,,5,4,4,,,,,,,5,5,5,5,5,5,,,,,,,,,,5,5,5,,,,,,,2,5,5,,,
6,380,36,Female,Caucasian,,2,2,2,2,2,2,3,2,2,3,2,2,2,3,3,3,2,3,2,2,2,2,2,3,3,2,2,2,3,3,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,5,5,5,,,,,,,6,5,5,,,,,,,,,,,,,5,5,4,,,,6,6,6,,,,,,,5,5,5,,,,5,5,5,,,,,,,,,,5,5,5,,,,,,,4,5,4,,,
7,494,40,Male,Caucasian,,1,3,4,3,3,2,4,4,3,4,3,3,2,2,4,3,4,3,2,4,2,1,2,4,3,1,1,2,3,4,2,4,3,2,2,3,2,4,4,3,2,1,2,2,1,,,,8,8,4,,,,8,9,8,,,,,,,,,,,,,9,8,8,9,7,8,,,,,,,,,,,,,9,9,9,,,,5,5,5,,,,,,,,,,1,1,1,,,,,,,1,9,4
8,430,35,Female,Caucasian,,1,1,3,3,2,1,2,3,1,2,3,3,1,1,1,1,4,1,1,4,2,2,1,2,2,1,1,1,4,4,1,1,1,1,3,1,2,3,2,4,1,1,1,2,1,,,,5,8,7,,,,,,,2,7,6,,,,,,,5,5,4,,,,7,5,6,,,,,,,5,5,5,,,,,,,,,,5,5,5,,,,,,,5,5,5,,,,,,,5,6,3,,,
9,587,55,Male,Caucasian,,2,2,3,3,2,2,2,2,2,2,3,2,1,2,2,3,2,1,2,2,2,2,2,2,2,2,1,2,3,3,2,2,2,2,2,2,2,3,3,3,2,3,2,2,2,,,,5,5,5,,,,5,5,3,,,,,,,,,,,,,4,4,2,,,,,,,4,3,2,,,,,,,5,4,3,5,5,5,,,,,,,5,5,5,,,,,,,5,6,5,,,,,,
10,391,35,Male,Caucasian,,2,1,4,2,3,1,3,2,1,3,3,3,1,1,2,3,2,2,1,3,2,1,2,4,4,1,1,1,2,4,1,1,1,1,1,2,2,4,2,4,1,1,1,4,1,8,8,8,,,,,,,9,9,9,,,,,,,9,7,7,,,,,,,,,,5,5,9,,,,,,,5,5,5,,,,,,,,,,5,5,2,,,,,,,5,5,1,,,,,,,5,2,2
